DATE,Average Sale price US,,Year,Average Sale Price(year),Yearly % Change,,
1/1/1963,19300,,1963,19375,,,
4/1/1963,19400,,1964,20300,4.77%,,
7/1/1963,19200,,1965,21450,5.67%,,
10/1/1963,19600,,1966,22925,6.88%,,
1/1/1964,19600,,1967,24125,5.23%,,
4/1/1964,20200,,1968,26425,9.53%,,
7/1/1964,20500,,1969,27725,4.92%,,
10/1/1964,20900,,1970,26650,-3.88%,,
1/1/1965,21500,,1971,28100,5.44%,,
4/1/1965,21000,,1972,30075,7.03%,,
7/1/1965,21600,,1973,35100,16.71%,,
10/1/1965,21700,,1974,38725,10.33%,,
1/1/1966,22700,,1975,42525,9.81%,,
4/1/1966,23200,,1976,48050,12.99%,,
7/1/1966,23000,,1977,54350,13.11%,,
10/1/1966,22800,,1978,62700,15.36%,,
1/1/1967,24000,,1979,71900,14.67%,,
4/1/1967,24200,,1980,76375,6.22%,,
7/1/1967,23900,,1981,83175,8.90%,,
10/1/1967,24400,,1982,83850,0.81%,,
1/1/1968,25400,,1983,89775,7.07%,,
4/1/1968,26700,,1984,97550,8.66%,,
7/1/1968,26600,,1985,100825,3.36%,,
10/1/1968,27000,,1986,112075,11.16%,,
1/1/1969,27600,,1987,127575,13.83%,,
4/1/1969,28100,,1988,138650,8.68%,,
7/1/1969,28100,,1989,148125,6.83%,,
10/1/1969,27100,,1990,149075,0.64%,,
1/1/1970,27000,,1991,147275,-1.21%,,
4/1/1970,27300,,1992,144675,-1.77%,,
7/1/1970,26000,,1993,147475,1.94%,,
10/1/1970,26300,,1994,154175,4.54%,,
1/1/1971,27300,,1995,157750,2.32%,,
4/1/1971,28600,,1996,165525,4.93%,,
7/1/1971,28300,,1997,174875,5.65%,,
10/1/1971,28200,,1998,181150,3.59%,,
1/1/1972,29000,,1999,194675,7.47%,,
4/1/1972,29400,,2000,205375,5.50%,,
7/1/1972,30300,,2001,211050,2.76%,,
10/1/1972,31600,,2002,226700,7.42%,,
1/1/1973,32800,,2003,244550,7.87%,,
4/1/1973,35100,,2004,272125,11.28%,,
7/1/1973,35900,,2005,291275,7.04%,,
10/1/1973,36600,,2006,303900,4.33%,,
1/1/1974,38000,,2007,309800,1.94%,,
4/1/1974,38600,,2008,289075,-6.69%,,
7/1/1974,39000,,2009,269350,-6.82%,,
10/1/1974,39300,,2010,272025,0.99%,,
1/1/1975,40900,,2011,264600,-2.73%,,
4/1/1975,42600,,2012,288225,8.93%,,
7/1/1975,42200,,2013,321650,11.60%,,
10/1/1975,44400,,2014,345450,7.40%,,
1/1/1976,46000,,2015,350450,1.45%,,
4/1/1976,47800,,2016,359650,2.63%,,
7/1/1976,48100,,2017,381150,5.98%,,
10/1/1976,50300,,2018,382475,0.35%,,
1/1/1977,51600,,2019,379875,-0.68%,,
4/1/1977,54300,,2020,389800,2.61%,,
7/1/1977,54000,,2021,457375,17.34%,,
10/1/1977,57500,,2022,535500,17.08%,,
1/1/1978,59300,,2023,507233.3333,-5.28%,,
4/1/1978,61600,,,,,,
7/1/1978,63500,,,,,,
10/1/1978,66400,,,,,,
1/1/1979,68300,,,,,,
4/1/1979,72400,,,,,,
7/1/1979,74200,,,,,,
10/1/1979,72700,,,,,,
